分类: 📺央视频道, 名称: CCTV-1, 有效: 1, IPv4: 41, IPv6: 0, 最小延迟: 425 ms, 最高速率: 3.39 M/s, 平均速率: 3.39 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 1, IPv4: 38, IPv6: 0, 最小延迟: 2102 ms, 最高速率: 0.94 M/s, 平均速率: 0.94 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 有效: 3, IPv4: 44, IPv6: 0, 最小延迟: 462 ms, 最高速率: 5.67 M/s, 平均速率: 2.50 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 1, IPv4: 32, IPv6: 0, 最小延迟: 374 ms, 最高速率: 1.63 M/s, 平均速率: 1.63 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 6, IPv4: 47, IPv6: 0, 最小延迟: 32 ms, 最高速率: 36.60 M/s, 平均速率: 11.90 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 2, IPv4: 22, IPv6: 0, 最小延迟: 1155 ms, 最高速率: 1.79 M/s, 平均速率: 1.14 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 2, IPv4: 39, IPv6: 0, 最小延迟: 613 ms, 最高速率: 6.78 M/s, 平均速率: 4.37 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 2, IPv4: 35, IPv6: 0, 最小延迟: 409 ms, 最高速率: 2.55 M/s, 平均速率: 1.47 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 3, IPv4: 37, IPv6: 0, 最小延迟: 27 ms, 最高速率: 45.08 M/s, 平均速率: 37.91 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 1, IPv4: 37, IPv6: 0, 最小延迟: 1059 ms, 最高速率: 0.48 M/s, 平均速率: 0.48 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 0, IPv4: 35, IPv6: 0, 最小延迟: 1218 ms, 最高速率: 0.23 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 有效: 4, IPv4: 36, IPv6: 0, 最小延迟: 30 ms, 最高速率: 37.31 M/s, 平均速率: 18.91 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-12, 有效: 0, IPv4: 30, IPv6: 0, 最小延迟: 1178 ms, 最高速率: 0.42 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 有效: 1, IPv4: 37, IPv6: 0, 最小延迟: 543 ms, 最高速率: 7.47 M/s, 平均速率: 7.47 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 有效: 2, IPv4: 30, IPv6: 0, 最小延迟: 620 ms, 最高速率: 6.81 M/s, 平均速率: 3.66 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-15, 有效: 2, IPv4: 41, IPv6: 0, 最小延迟: 568 ms, 最高速率: 7.64 M/s, 平均速率: 4.14 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-16, 有效: 3, IPv4: 14, IPv6: 0, 最小延迟: 89 ms, 最高速率: 15.79 M/s, 平均速率: 7.92 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-17, 有效: 1, IPv4: 19, IPv6: 0, 最小延迟: 1504 ms, 最高速率: 2.77 M/s, 平均速率: 2.77 M/s, 最高分辨率: 1920x1080
